Song,Artist,Genre
Levon,Elton John,Pop
Crocodile Rock,Elton John,Pop
The Bitch Is Black,Elton John,Pop
Ego,Elton John,Pop
Step Into Christmas,Elton John,Pop
Don't Go Breaking My Heart,Elton John,Pop
A Day In The Life,Beatles,Pop
A Hard Day's Night,Beatles,Pop
A Saturday Club Xmas/Crimble Medley,Beatles,Pop
Across The Universe,Beatles,Pop
All My Loving,Beatles,Pop
All You Need Is Love,Beatles,Pop
And Your Bird Can Sing,Beatles,Pop
ANYTIME AT ALL,Beatles,Pop
Baby You're A Rich Man,Beatles,Pop
Back In the U.S.S.R.,Beatles,Pop
BAD BOY,Beatles,Pop
BALLAD OF JOHN AND YOKO,Beatles,Pop
Birthday,Beatles,Pop
Blackbird,Beatles,Pop
Can't Buy Me Love,Beatles,Pop
Come Together,Beatles,Pop
Cry For A Shadow,Beatles,Pop
Day Tripper,Beatles,Pop
Dear Prudence,Beatles,Pop
Don't Let Me Down,Beatles,Pop
Cant Help Falling In Love,Elvis Presly,Pop
Burning Love,Elvis Presly,Pop
In The Ghetto,Elvis Presly,Pop
Suspicious Minds,Elvis Presly,Pop
Its Now Or Never,Elvis Presly,Pop
Always On My Mind,Elvis Presly,Pop
All Shock Up,Elvis Presly,Pop
The Wonder Of You,Elvis Presly,Pop
American Triology,Elvis Presly,Pop
Return To Sender,Elvis Presly,Pop
Wooden Heart,Elvis Presly,Pop
Teddy Bear,Elvis Presly,Pop
Good Luck Charm,Elvis Presly,Pop
Viva Las Vegas,Elvis Presly,Pop
One Night Of Sin,Elvis Presly,Pop
Dont Cry Daddy,Elvis Presly,Pop
I Want You,Elvis Presly,Pop
Peace In The Valley,Elvis Presly,Pop
I Forget To Remember,Elvis Presly,Pop
Way Down,Elvis Presly,Pop
La Isla Bonita,Madonna,Pop
Like A Prayer,Madonna,Pop
Frozen,Madonna,Pop
Take A Bow,Madonna,Pop
Material Girl,Madonna,Pop
Like A Virgin,Madonna,Pop
Vogue,Madonna,Pop
Oh Father,Madonna,Pop
Boderline,Madonna,Pop
What It Feels Like For A Girl,Madonna,Pop
Beautiful Stranger,Madonna,Pop
Dont Tell Me,Madonna,Pop
Ray Of Light,Madonna,Pop
Youll See,Madonna,Pop
Hung Up,Madonna,Pop
Open Your Heart,Madonna,Pop
Into Your Groove,Madonna,Pop
Papa Dont Preach,Madonna,Pop
Crazy For You,Madonna,Pop
Live To Tell,Madonna,Pop
Wake Me Up,Avicii,EDM
Levels,Avicii,EDM
Hey Brother,Avicii,EDM
I Could Be The One,Avicii,EDM
Waiting For Love,Avicii,EDM
The Nights,Avicii,EDM
You Make Me,Avicii,EDM
Silhouettes,Avicii,EDM
Seek Bromance,Avicii,EDM
Addicted To You,Avicii,EDM
Without You,Avicii,EDM
Fade Into Darkness,Avicii,EDM
The Days,Avicii,EDM
Lay Me Down,Avicii,EDM
Lonely Together,Avicii,EDM
X You,Avicii,EDM
Super Love,Avicii,EDM
For A Better Day,Avicii,EDM
Broken Arrows,Avicii,EDM
My Feelings For You,Avicii,EDM
Get Lucky,Daft Punk,EDM
Instant Crush,Daft Punk,EDM
Around The World,Daft Punk,EDM
One More Time,Daft Punk,EDM
Digital Love,Daft Punk,EDM
Technologic,Daft Punk,EDM
Contact,Daft Punk,EDM
Starboy,Daft Punk,EDM
Face To Face,Daft Punk,EDM
Robot Rock,Daft Punk,EDM
Da Funk,Daft Punk,EDM
Doin It Right,Daft Punk,EDM
Lose Yourself To Dance,Daft Punk,EDM
Fragments Of Time,Daft Punk,EDM
Give Life Back To Music,Daft Punk,EDM
The New Wave,Daft Punk,EDM
I Feel It Coming,Daft Punk,EDM
Derezzed,Daft Punk,EDM
Revolution 909,Daft Punk,EDM
Alive,Daft Punk,EDM
Faded,Alan Walker,EDM
On My Way,Alan Walker,EDM
Alone,Alan Walker,EDM
Sing Me To Sleep,Alan Walker,EDM
The Spectre,Alan Walker,EDM
All Falls Down,Alan Walker,EDM
Darkside,Alan Walker,EDM
Tired,Alan Walker,EDM
Diamond Heart,Alan Walker,EDM
Lily,Alan Walker,EDM
Ignite,Alan Walker,EDM
Lost Control,Alan Walker,EDM
Different World,Alan Walker,EDM
Routine,Alan Walker,EDM
Live Fast,Alan Walker,EDM
I Dont Wanna Go,Alan Walker,EDM
Lonely,Alan Walker,EDM
Do It All For You,Alan Walker,EDM
Big Universe,Alan Walker,EDM
Play,Alan Walker,EDM
In The Name Of Love,Martin Garrix,EDM
Animals,Martin Garrix,EDM
Forbidden Voices,Martin Garrix,EDM
Dont Look Down,Martin Garrix,EDM
The Only Way Is Up,Martin Garrix,EDM
There For You,Martin Garrix,EDM
Ocean,Martin Garrix,EDM
Gold Skies,Martin Garrix,EDM
These Are The Times,Martin Garrix,EDM
Pizza,Martin Garrix,EDM
Summer Days,Martin Garrix,EDM
Bouncybob,Martin Garrix,EDM
Access,Martin Garrix,EDM
Proxy,Martin Garrix,EDM
Yottabyte,Martin Garrix,EDM
Dreamer,Martin Garrix,EDM
Breach,Martin Garrix,EDM
Sun Is Never Going Down,Martin Garrix,EDM
Hold On & Believe,Martin Garrix,EDM
Poison,Martin Garrix,EDM
Summer,Calvin Harris,EDM
Feel So Close,Calvin Harris,EDM
We Found Love,Calvin Harris,EDM
Sweet Nothing,Calvin Harris,EDM
Blame,Calvin Harris,EDM
I Need Your Love,Calvin Harris,EDM
Slide,Calvin Harris,EDM
This Is What You Came For,Calvin Harris,EDM
Outside,Calvin Harris,EDM
How Deep Is Your Love,Calvin Harris,EDM
Under Control,Calvin Harris,EDM
My Way,Calvin Harris,EDM
Feels,Calvin Harris,EDM
Well Be Coming Back,Calvin Harris,EDM
Im Not Alone,Calvin Harris,EDM
Acceptable In The 80s,Calvin Harris,EDM
Thinking About You,Calvin Harris,EDM
LetsGo,Calvin Harris,EDM
You Used To Hold Me,Calvin Harris,EDM
Slow Acid,Calvin Harris,EDM
Stay The Night,Zedd,EDM
Beautiful Now,Zedd,EDM
Stay,Zedd,EDM
Clarity,Zedd,EDM
I Want You To Know,Zedd,EDM
Spectrum,Zedd,EDM
Happy Now,Zedd,EDM
The Middle,Zedd,EDM
Find You,Zedd,EDM
Starving,Zedd,EDM
Shave It,Zedd,EDM
Papercut,Zedd,EDM
Break Free,Zedd,EDM
Addicted To Memory,Zedd,EDM
Good Thing,Zedd,EDM
Slam The Door,Zedd,EDM
Lost In Japan,Zedd,EDM
Lost At Sea,Zedd,EDM
Fall Into The Sky,Zedd,EDM
Bumble Bee,Zedd,EDM
Another One Bites the Dust,Queen,Rock
Bicycle Race,Queen,Rock
Bicycle Race/fat Bottomed Girls,Queen,Rock
Bohemian Rhapsody,Queen,Rock
Crazy Little Thing Called Love,Queen,Rock
Don't Stop Me Now,Queen,Rock
Fat Bottomed Girls,Queen,Rock
It's Late,Queen,Rock
Keep Yourself Alive,Queen,Rock
Killer Queen,Queen,Rock
One Vision,Queen,Rock
Somebody To Love,Queen,Rock
THESE ARE THE DAYS OF OUR LI,Queen,Rock
Tie Your Mother Down,Queen,Rock
Under Pressure,Queen,Rock
We Are the Champions,Queen,Rock
We Will Rock You,Queen,Rock
We Will Rock You/We Are The Champions,Queen,Rock
You're My Best Friend,Queen,Rock
Eight Days A Week,Beatles,Rock
Eleanor Rigby,Beatles,Rock
Everybody's Got Something To Hide Except Me And My Monk,Beatles,Rock
Fixing A Hole,Beatles,Rock
From Me To You,Beatles,Rock
Get Back,Beatles,Rock
Getting Better,Beatles,Rock
GIRL,Beatles,Rock
Golden Slumbers,Beatles,Rock
Good Day Sunshine,Beatles,Rock
Got To Get You Into My Life,Beatles,Rock
Hello Goodbye,Beatles,Rock
Help!,Beatles,Rock
Helter Skelter,Beatles,Rock
Here Comes The Sun,Beatles,Rock
Hey Jude,Beatles,Rock
I Am the Walrus,Beatles,Rock
I Feel Fine,Beatles,Rock
I Saw Her Standing There,Beatles,Rock
I Want To Hold Your Hand,Beatles,Rock
Breadfan,Metallica,Rock
Enter Sandman,Metallica,Rock
Fade To Black,Metallica,Rock
For Whom The Bell Tolls,Metallica,Rock
Fuel,Metallica,Rock
Harvester Of Sorrow,Metallica,Rock
Hero of the Day,Metallica,Rock
Lords of Summer (First Pass Version),Metallica,Rock
Master of Puppets,Metallica,Rock
No Leaf Clover,Metallica,Rock
Nothing Else Matters,Metallica,Rock
One,Metallica,Rock
Sad But True,Metallica,Rock
Seek & Destroy,Metallica,Rock
The Memory Remains,Metallica,Rock
The Unforgiven,Metallica,Rock
Turn The Page,Metallica,Rock
Until It Sleeps,Metallica,Rock
Wherever I May Roam,Metallica,Rock
Whiskey In The Jar,Metallica,Rock
(I Can't Get No) Satisfaction,Rolling Stones,Rock
19th Nervous Breakdown,Rolling Stones,Rock
Ain't Too Proud to Beg,Rolling Stones,Rock
Almost Hear You Sigh,Rolling Stones,Rock
Angie,Rolling Stones,Rock
Beast Of Burden,Rolling Stones,Rock
Bitch,Rolling Stones,Rock
Brown Sugar,Rolling Stones,Rock
Can't You Hear Me Knocking,Rolling Stones,Rock
CAROL,Rolling Stones,Rock
Da Da Doo Ron Ron,Rolling Stones,Rock
Dance Little Sister,Rolling Stones,Rock
Doo Doo Doo Doo Doo (Heartbreaker),Rolling Stones,Rock
Doom And Gloom,Rolling Stones,Rock
Emotional Rescue,Rolling Stones,Rock
Fortune Teller,Rolling Stones,Rock
Get Off My Cloud,Rolling Stones,Rock
Get Off Of My Cloud,Rolling Stones,Rock
Gimme Shelter,Rolling Stones,Rock
Hand of Fate,Rolling Stones,Rock
All My Love,Led Zeppelin,Rock
Babe I'm Gonna Leave You,Led Zeppelin,Rock
Black Dog,Led Zeppelin,Rock
Black Mountain Side,Led Zeppelin,Rock
Bonzo's Montreaux,Led Zeppelin,Rock
Boogie With Stu,Led Zeppelin,Rock
Bring It On Home,Led Zeppelin,Rock
Bron-y-aur Stomp,Led Zeppelin,Rock
Celebration Day,Led Zeppelin,Rock
Communication Breakdown,Led Zeppelin,Rock
Custard Pie,Led Zeppelin,Rock
D'Yer Mak'er,Led Zeppelin,Rock
Dancing Days,Led Zeppelin,Rock
Darlene,Led Zeppelin,Rock
Dazed and Confused,Led Zeppelin,Rock
Down By The Seaside,Led Zeppelin,Rock
Fool In the Rain,Led Zeppelin,Rock
For Your Life,Led Zeppelin,Rock
Four Sticks,Led Zeppelin,Rock
Friends,Led Zeppelin,Rock
Civil War,Gun n Roses,Rock
Don't Cry,Gun n Roses,Rock
Knockin' On Heaven's Door,Gun n Roses,Rock
Live and Let Die,Gun n Roses,Rock
Mr. Brownstone,Gun n Roses,Rock
My Michelle,Gun n Roses,Rock
November Rain,Gun n Roses,Rock
Paradise City,Gun n Roses,Rock
Patience,Gun n Roses,Rock
Sweet Child O' Mine,Gun n Roses,Rock
Used To Love Her,Gun n Roses,Rock
Welcome to the Jungle,Gun n Roses,Rock
You Could Be Mine,Gun n Roses,Rock
Its So Easy,Gun n Roses,Rock
One In A Million,Gun n Roses,Rock
Nightrain,Gun n Roses,Rock
YesterDays,Gun n Roses,Rock
Rocket Queen,Gun n Roses,Rock
Aint It Fun,Gun n Roses,Rock
Since I Dont Have You,Gun n Roses,Rock
Rap God,Eminem,Rap
Love The Way You Lie,Eminem,Rap
Without Me,Eminem,Rap
Not Afraid,Eminem,Rap
When Im Gone,Eminem,Rap
Killshot,Eminem,Rap
My Name Is,Eminem,Rap
Sing For The Moment,Eminem,Rap
No Love,Eminem,Rap
The Monster,Eminem,Rap
Forever,Eminem,Rap
Beautiful,Eminem,Rap
Kill You,Eminem,Rap
Guts Over Fear,Eminem,Rap
Bitch Please II,Eminem,Rap
Berzerk,Eminem,Rap
Ass Like That,Eminem,Rap
Shake That Ass,Eminem,Rap
White America,Eminem,Rap
Like Toy Soldiers,Eminem,Rap
You Dont Know,Eminem,Rap
Super Bass,Nicki Minaj,Rap
Starships,Nicki Minaj,Rap
Anaconda,Nicki Minaj,Rap
Bang Bang,Nicki Minaj,Rap
Moment 4 Life,Nicki Minaj,Rap
Pound The Alarm,Nicki Minaj,Rap
Megatron,Nicki Minaj,Rap
Your Love,Nicki Minaj,Rap
Barbie Dreams,Nicki Minaj,Rap
Only,Nicki Minaj,Rap
Va Va Voom,Nicki Minaj,Rap
Right Thru Me,Nicki Minaj,Rap
Feeling Myself,Nicki Minaj,Rap
No Frauds,Nicki Minaj,Rap
Dead,Nicki Minaj,Rap
Barbie Tingz,Nicki Minaj,Rap
Side To Side,Nicki Minaj,Rap
Turn Me On,Nicki Minaj,Rap
Romans Revenge,Nicki Minaj,Rap
FEFE,Nicki Minaj,Rap
Runaway,Kanye West,Rap
Famous ,Kanye West,Rap
Stronger,Kanye West,Rap
Jesus Walks,Kanye West,Rap
Gold Digger,Kanye West,Rap
Love Lockdown,Kanye West,Rap
All Of The Lights,Kanye West,Rap
Niggas In Paris,Kanye West,Rap
Monster,Kanye West,Rap
Heartless,Kanye West,Rap
Power,Kanye West,Rap
Cant Tell Me Nothing,Kanye West,Rap
Real Friends,Kanye West,Rap
Ultralight Beam,Kanye West,Rap
Flashing Lights,Kanye West,Rap
Mercy,Kanye West,Rap
Good Life,Kanye West,Rap
Otis,Kanye West,Rap
I Love It,Kanye West,Rap
New Slaves,Kanye West,Rap
Sucker For Pain,Lil Wayne,Rap
Mirror,Lil Wayne,Rap
Love Me,Lil Wayne,Rap
A Milli,Lil Wayne,Rap
Uproar,Lil Wayne,Rap
Lollipop,Lil Wayne,Rap
6 Foot 7 Foot,Lil Wayne,Rap
No Frauds,Lil Wayne,Rap
Monalisa,Lil Wayne,Rap
Mrs. Officer,Lil Wayne,Rap
Forever,Lil Wayne,Rap
Go DJ,Lil Wayne,Rap
Believe Me,Lil Wayne,Rap
Dont Cry,Lil Wayne,Rap
3 Peat,Lil Wayne,Rap
Watch My Shoes,Lil Wayne,Rap
She Will,Lil Wayne,Rap
Let The Beat Build,Lil Wayne,Rap
Got Money,Lil Wayne,Rap
John,Lil Wayne,Rap
Old Town Road,Lil Nas X,Rap
Panini,Lil Nas X,Rap
Rodeo,Lil Nas X,Rap
Kick It,Lil Nas X,Rap
Thanos,Lil Nas X,Rap
Kim Jong,Lil Nas X,Rap
Bring U Down,Lil Nas X,Rap
F9mily,Lil Nas X,Rap
Pop Pop Pop,Lil Nas X,Rap
Get Flipped,Lil Nas X,Rap
Money In The Grave,Drake,Rap
In My Feelings,Drake,Rap
Gods Plan,Drake,Rap
Hotline Bling,Drake,Rap
Best I Ever Had,Drake,Rap
Take Care,Drake,Rap
The Motto,Drake,Rap
Girls Need Love,Drake,Rap
Worst Behaviour,Drake,Rap
HYFR,Drake,Rap
Nonstop,Drake,Rap
One Dance,Drake,Rap
Passionfruit,Drake,Rap
Over,Drake,Rap
Headlines,Drake,Rap
Started From The Bottom,Drake,Rap
Marvins Room,Drake,Rap
Fake Love,Drake,Rap
Forever,Drake,Rap
Know Yourself,Drake,Rap
Mannish Boy,Muddy Waters,Blues
Baby Please Dont Go,Muddy Waters,Blues
Hoochie Coochie Man,Muddy Waters,Blues
Got My Mojo Working,Muddy Waters,Blues
I Cant Be Satisfied,Muddy Waters,Blues
Rollin Stone,Muddy Waters,Blues
I Am The Blues,Muddy Waters,Blues
Sad Sad Days,Muddy Waters,Blues
Blow Wind Blow,Muddy Waters,Blues
Im A King Bee,Muddy Waters,Blues
I Want To Be Loved,Muddy Waters,Blues
Long Distance Call,Muddy Waters,Blues
I Feel Like Going Home,Muddy Waters,Blues
Shes Nineteen Years Old,Muddy Waters,Blues
Catfish Blues,Muddy Waters,Blues
Deep Down In Florida,Muddy Waters,Blues
She Moves Me,Muddy Waters,Blues
Shes All Right,Muddy Waters,Blues
Big Leg Woman,Muddy Waters,Blues
Still A Fool,Muddy Waters,Blues
Help The Poor,B B King,Blues
Sweet Little Angle,B B King,Blues
Happy Birthday Blues,B B King,Blues
How Blue Can You Get,B B King,Blues
Three OClock Blues,B B King,Blues
Rock Me Baby,B B King,Blues
Why I Sing Blues,B B King,Blues
Dont Answer The Door,B B King,Blues
Youre Gonna Miss Me,B B King,Blues
Everyday I Have The Blues,B B King,Blues
Ghetto Woman,B B King,Blues
Ten Long Years,B B King,Blues
Blues In ‘G,B B King,Blues
Crossroads,B B King,Blues
Driving Wheel,B B King,Blues
Hold On Im Coming,B B King,Blues
Lucille,B B King,Blues
"My Own Fault, Baby",B B King,Blues
Chains And Things,B B King,Blues
Blues Boys Tune,B B King,Blues
Hide Away,Freddie King,Blues
Im Tore Down,Freddie King,Blues
Going Down,Freddie King,Blues
San-Ho-Zay,Freddie King,Blues
The Stumble,Freddie King,Blues
Same Old Blues,Freddie King,Blues
Pack It Up,Freddie King,Blues
Big Legged Woman,Freddie King,Blues
Sugar Sweet,Freddie King,Blues
I Love The Woman,Freddie King,Blues
Me And My Guitar,Freddie King,Blues
Its Too Bad,Freddie King,Blues
Boogie Funk,Freddie King,Blues
Texas Flyer,Freddie King,Blues
Lowdown In Lodi,Freddie King,Blues
You Wre Wrong,Freddie King,Blues
Dust My Broom,Freddie King,Blues
Palace Of The King,Freddie King,Blues
Aint Nobodys Buisness,Freddie King,Blues
Living On The Highway,Freddie King,Blues
Boom Boom,John Lee Hooker,Blues
Shake It Baby,John Lee Hooker,Blues
House Rent Boogie,John Lee Hooker,Blues
Baby Lee,John Lee Hooker,Blues
This Is Hip,John Lee Hooker,Blues
Sugar Mama,John Lee Hooker,Blues
No More Doggin,John Lee Hooker,Blues
Water Front,John Lee Hooker,Blues
"Big Legs, Tight Skirt",John Lee Hooker,Blues
No Shoes,John Lee Hooker,Blues
Buring Hell,John Lee Hooker,Blues
Meet Me In The Bottom,John Lee Hooker,Blues
Dirty Ground Hog Blues,John Lee Hooker,Blues
Frisco Blues,John Lee Hooker,Blues
Please Dont Go,John Lee Hooker,Blues
Im Bad Like Jesse James,John Lee Hooker,Blues
Sally Mae,John Lee Hooker,Blues
Rock With Me,John Lee Hooker,Blues
Whiskey And Wimmen,John Lee Hooker,Blues
Chill Out,John Lee Hooker,Blues
Spoonful,Howlin Wolf,Blues
I Aint Superstitious,Howlin Wolf,Blues
Smokestack Lightnin,Howlin Wolf,Blues
Goin Down Slow,Howlin Wolf,Blues
How Many More Years,Howlin Wolf,Blues
Build For Comfort,Howlin Wolf,Blues
Down In The Bottom,Howlin Wolf,Blues
Do The Do,Howlin Wolf,Blues
Whos Been Talkin,Howlin Wolf,Blues
Evil,Howlin Wolf,Blues
Howlin For My Darlin,Howlin Wolf,Blues
Moanin At Midnight,Howlin Wolf,Blues
All My Life,Howlin Wolf,Blues
Cant Put Me Out,Howlin Wolf,Blues
Aint Gon Down That Dirt Road,Howlin Wolf,Blues
Baby How Long,Howlin Wolf,Blues
Baby Ride With Me,Howlin Wolf,Blues
Blind Love,Howlin Wolf,Blues
Bluebird,Howlin Wolf,Blues
Break Of Day,Howlin Wolf,Blues
"Damn Right, Ive Got The Blues",Buddy Guy,Blues
First Time I Met The Blues,Buddy Guy,Blues
Mustang Sally,Buddy Guy,Blues
Feels Like Rain,Buddy Guy,Blues
Stone Crazy,Buddy Guy,Blues
Let Me Love You Baby,Buddy Guy,Blues
Five Long Years,Buddy Guy,Blues
I Smell Trouble,Buddy Guy,Blues
Ten Years Ago,Buddy Guy,Blues
Rememberin Stevie,Buddy Guy,Blues
My Time After Awhile,Buddy Guy,Blues
Baby Please Dont Leave Me,Buddy Guy,Blues
Midnight Train,Buddy Guy,Blues
Cut You Lose,Buddy Guy,Blues
Leave My Girl Alone,Buddy Guy,Blues
Mary Had A Little Lamb,Buddy Guy,Blues
Black Night,Buddy Guy,Blues
I Suffer With The Blue,Buddy Guy,Blues
Done Got Old,Buddy Guy,Blues
Now Youre Gone,Buddy Guy,Blues
Hai Rama, A R Rahman,Bollywood
Tu Hi Re, A R Rahman,Bollywood
Chaiyya Chaiyya, A R Rahman,Bollywood
Taal Se Taal, A R Rahman,Bollywood
Mitwa, A R Rahman,Bollywood
Saathiya, A R Rahman,Bollywood
Yun Hi Chala Chala, A R Rahman,Bollywood
Fana, A R Rahman,Bollywood
Khalbali, A R Rahman,Bollywood
Barso Re, A R Rahman,Bollywood
Jashn E Bahaara, A R Rahman,Bollywood
Tu Bole Main Boloon, A R Rahman,Bollywood
Jai Ho, A R Rahman,Bollywood
Masakali, A R Rahman,Bollywood
Kun Faya Kun, A R Rahman,Bollywood
Hosanna, A R Rahman,Bollywood
Challa, A R Rahman,Bollywood
Piya Milenge, A R Rahman,Bollywood
Patakha Guddi, A R Rahman,Bollywood
Agar Tum Sath Ho, A R Rahman,Bollywood
Iktara,Amit Trivedi,Bollywood
Zinda,Amit Trivedi,Bollywood
Manja,Amit Trivedi,Bollywood
Love You Zindagi,Amit Trivedi,Bollywood
Namo Namo,Amit Trivedi,Bollywood
Pashmina,Amit Trivedi,Bollywood
Sham,Amit Trivedi,Bollywood
Nayan Tarse,Amit Trivedi,Bollywood
Sawaar Loon,Amit Trivedi,Bollywood
Dhak Dhuk,Amit Trivedi,Bollywood
Lodon Thumakda,Amit Trivedi,Bollywood
Suno Aisha,Amit Trivedi,Bollywood
Badra Bahaar,Amit Trivedi,Bollywood
Gal Mithi Mithi,Amit Trivedi,Bollywood
Gubbare,Amit Trivedi,Bollywood
Pareshaan,Amit Trivedi,Bollywood
Gulaabo,Amit Trivedi,Bollywood
Shaam Shaandaar,Amit Trivedi,Bollywood
Aazaadiyan,Amit Trivedi,Bollywood
Ud-Daa Punjab,Amit Trivedi,Bollywood
Pairon Mein Bandhan Hai,Lata Mangeskar,Bollywood
Dilwale Dulhania Le Jayenge,Lata Mangeskar,Bollywood
Zindagi Ki Na Toote Ladi,Lata Mangeskar,Bollywood
Ek Pyaar Ka Nagma Hai,Lata Mangeskar,Bollywood
Babul Pyare,Lata Mangeskar,Bollywood
Kabootar Ja Ja Ja,Lata Mangeskar,Bollywood
Jis Path Pe Chala,Lata Mangeskar,Bollywood
Pyar Karne Wale,Lata Mangeskar,Bollywood
Lag Jaa Gale,Lata Mangeskar,Bollywood
Wada Na Tod,Lata Mangeskar,Bollywood
Shayad Meri Shaadi,Lata Mangeskar,Bollywood
Mehboob Mere,Lata Mangeskar,Bollywood
O Mere Sanam,Lata Mangeskar,Bollywood
Milo Na Tum,Lata Mangeskar,Bollywood
Gori Hai Kalaiyan,Lata Mangeskar,Bollywood
Aisa Des Hai Mera,Lata Mangeskar,Bollywood
Jaadu Teri Nazar,Lata Mangeskar,Bollywood
Zindagi Pyaar Ka Geet Hai ,Lata Mangeskar,Bollywood
Dafli Wale Dafli Baja,Lata Mangeskar,Bollywood
Tumse Milkar Na Jane,Lata Mangeskar,Bollywood
Tum Hi Ho,Arjit Singh,Bollywood
Soch Na Sake,Arjit Singh,Bollywood
Raabta,Arjit Singh,Bollywood
Channa Mereya,Arjit Singh,Bollywood
Muskurane,Arjit Singh,Bollywood
Mast Magan,Arjit Singh,Bollywood
Duaa,Arjit Singh,Bollywood
Ae Dil Hai Mushkil,Arjit Singh,Bollywood
Phir Bhi Tumko Chaahunga,Arjit Singh,Bollywood
Phir Mohabbat,Arjit Singh,Bollywood
Humdard,Arjit Singh,Bollywood
Hawayein,Arjit Singh,Bollywood
Hamari Adhuri Kahani,Arjit Singh,Bollywood
Bolna,Arjit Singh,Bollywood
Laal Ishq,Arjit Singh,Bollywood
Dilliwaali Girlfriend,Arjit Singh,Bollywood
Zaalima,Arjit Singh,Bollywood
Janam Janam,Arjit Singh,Bollywood
Ik Vaari Aa,Arjit Singh,Bollywood
Aaj Phir,Arjit Singh,Bollywood
Deewani Mastani,Shreya Goshal,Bollywood
Sunn Raha Hai,Shreya Goshal,Bollywood
Chikni Chameli,Shreya Goshal,Bollywood
Ghoomar,Shreya Goshal,Bollywood
Nagada Sang Dhol,Shreya Goshal,Bollywood
Bairi Piya,Shreya Goshal,Bollywood
Agar Tum Mil Jao,Shreya Goshal,Bollywood
Barso Re,Shreya Goshal,Bollywood
Jaadu Hai Nasha Hai,Shreya Goshal,Bollywood
Saans,Shreya Goshal,Bollywood
Samjhawan,Shreya Goshal,Bollywood
Ye Ishq Hai,Shreya Goshal,Bollywood
Teri Ore,Shreya Goshal,Bollywood
Thodi Der,Shreya Goshal,Bollywood
Raat Bhar,Shreya Goshal,Bollywood
Chaar Kadam,Shreya Goshal,Bollywood
Teri Meri,Shreya Goshal,Bollywood
Saibo,Shreya Goshal,Bollywood
Nanga Punga Dost,Shreya Goshal,Bollywood
Radha,Shreya Goshal,Bollywood
Aur Tum Aaye,Sonu Nigam,Bollywood
Ab Mujhe Raat Din,Sonu Nigam,Bollywood
Bhula Denge Tum Ko Sanam,Sonu Nigam,Bollywood
Ye Dil To Mila Hai,Sonu Nigam,Bollywood
Mera Yaar Dildar,Sonu Nigam,Bollywood
Soniyo,Sonu Nigam,Bollywood
Sona Sona,Sonu Nigam,Bollywood
Jal Jal Ke Dhuan,Sonu Nigam,Bollywood
Hans Mat  Pagli,Sonu Nigam,Bollywood
Sab Kuchh Bhula diya,Sonu Nigam,Bollywood
Is Kadar Pyar Hai Tumse,Sonu Nigam,Bollywood
Tere Rang Balle Balle,Sonu Nigam,Bollywood
Ye Dhokhe Pyar Ke Dhokhe,Sonu Nigam,Bollywood
Main Agar Kahoon,Sonu Nigam,Bollywood
Chhoti Chhoti Raatein,Sonu Nigam,Bollywood
Tera Pallu Sarka Jaye Re,Sonu Nigam,Bollywood
Dil Dooba,Sonu Nigam,Bollywood
Aisa Deewana,Sonu Nigam,Bollywood
Bole Chudiyan,Sonu Nigam,Bollywood
O Sahiba O Sahiba,Sonu Nigam,Bollywood
